text,label,clean
มาเลี้ยงพี่หน่อยดิ๊,0,มาเลี้ยงอาหารพี่หน่อยนะครับ
กินเจอบูตะคอร์นมีกลิ่นเหม็น แย่สุดๆ ลองให้พนักงานชิม รีบเปลี่ยนมาให้ใหม่เลย ของสดจริงจ้ะ - -,0,มีกลิ่นเหม็นจากบูตะคอร์นที่ทางร้านเสิร์ฟให้ สามารถขอเปลี่ยนสินค้าใหม่ได้ค่ะ อาหารสดจริงๆค่ะ
ใครจะใจดีขนาดนั้นเพ้อเจ้อ,0,ใครบ้างที่จะใจดีขนาดนั้น ไม่น่าเป็นเรื่องจริง
ทานเผื่อก้อนด้วยน้า,0,ทานเผื่อก้อนด้วยนะครับ
นอกจากที่ยืนปัสสวะสำหรับผู้หญิงแล้ว เราก็ยังจับได้ u beer 1 ลัง ขอขอบพระคุณบ้านงานเป็นอย่างสูง,0, นอกจากอุปกรณ์ยืนปัสสวะสำหรับผู้หญิงแล้ว เราก็ยังจับได้ u beer 1 ลัง ขอขอบพระคุณบ้านงานเป็นอย่างสูงค่ะ
สายหวานต้องมา,0,คนหวานๆต้องมา
ขนาดไปซื้อสเมอนอฟเซเว่นเขายังไม่ขายกุเลย เพราะกุไปตอนบ่าย 3 เขาขาย 6 โมง กลับบ้านมาเปิดตู้เย็นมีแต่ยาคูลท์ โมโหมาก.,0,ผมไปซื้อสเมอนอฟที่เซเว่นเขาก็ยังไม่ขายผมเลย เพราะผมไปตอนบ่ายสามโมง เเต่ทางร้านขายหกโมงเย็น ผมกลับบ้านมาเปิดตู้เย็น มีแต่ยาคูลท์ โมโหมาก
แต่แม่งดูดสะเอง ... บางคนเอาไปตั้งบนโต๊ะทำงานบางคนนี่ยืนดูดหน้าโรงพัก งงใจกะพวกมัน,0,พวกเขาเสพยาเสียเอง บางคนเอาไปตั้งบนโต๊ะทำงาน บางคนนี่ยืนเสพหน้าโรงพัก ผมสงสัยการกระทำของพวกเขาจริงๆ
กาต้มน้ำ :>,0,กาต้มน้ำ
showdc คือเป็นอะไรที่ไปยากเหลือเกินพี่ปุ้ม5555555555,0,showdc เดินทางไปยากเหลือเกิน พี่ปุ้ม
แต่รอบนี้ SKII aura กับ spot essence Out of stock สงสัยต้องเสียเงินไปซื้อที่ญี่ปุ่นแทน,0,แต่รอบนี้ SKII aura กับ spot essence สินค้าหมด สงสัยต้องเสียค่าเดินทางไปซื้อที่ญี่ปุ่นแทน
เห็นรีวิวอายไลเนอร์แคทวอนดีแล้วตลก เกิดอุบัติเหตุรถมาสคาร่าไปแล้วแต่อายไลเนอร์ยังอยู่ ประเด็นคือแนบรูปด้วยอีเหี้ย5555555555555555555,0,เห็นรีวิวอายไลเนอร์แคทวอนดีแล้วรู้สึกเเปลกดี เกิดอุบัติเหตุรถมาสคาร่าไปแล้วแต่อายไลเนอร์ยังอยู่ ที่สำคัญคือเเนบรูปมาด้วย
ได้จ้าเด็กโข่ง,0,ได้จ้านักเรียน
กูคนเดียวป้ะที่ใช้mamonde 23ละออกชมพูแปร๋นอยู่คนเดียว ทำไมมันไม่ตุ่นเหมือนชาวบ้านเขาบ้างงงง!!!!!!,0,ฉันคนเดียวหรือปล่าว ที่ใช้ mamonde 23 แล้วสีออกชมพูสดอยู่คนเดียว ทำไมถึงไม่มีสีเข้มเหมือนคนอื่นบ้าง
อ้วน พอแล้วนะ! วันจันทร์ก็ได้นะ 555555555,0,เธอ พอแล้วนะ! วันจันทร์ก็ได้นะ
เอ๊กเทลก็ไฟฟ้านะ เขาคงเอามาลงตัวนี้ด้วยมั้ง,0,เอ๊กเทลก็ไฟฟ้านะครับ เขาคงเอามาใช้กับรุ่นนี้ด้วย
จำกัดเวลาปะ,0,จำกัดเวลาไหม
ทำไมฮอทพอทไม่มีกุ้งคะ,0,ทำไมฮอทพอท ถึงไม่เสิร์ฟเมนูกุ้งคะ
ถ้ามีและไม่บริจาคนะไอเหี้ยมึงเจอเลย,0,ถ้ามีเเต่ไม่ยอมบริจาค ผมจะทำร้ายคุณนะครับ
ไม่ได้อยากกิน. แค่ให้ดูเฉยๆ ว่ามา 4 จ่าย 3. ที่ Hot pot Buffet. ที่เซนทรัลเวสเกตก็มีนะ,0,ไม่ได้อยากกินครับ แค่ให้ดูเฉยๆ ว่าโปรโมชันมา 4 จ่าย 3. ที่ Hot pot Buffet. ที่เซนทรัลเวสเกตก็มีนะครับ
โห...เอาไปเก็บอีกหรา,0,เอาไปสะสมเหรอคะ
ดูจากระยะทางแล้ว พรุ่งนี้ น่าจะจบเซทสุดท้าย ที่ โรงงานเบียร์ช้าง แถวโค้งวิไล,0,ดูจากระยะทางแล้ว พรุ่งนี้ น่าจะจบเซทสุดท้าย ที่ โรงงานเบียร์ช้าง แถวโค้งวิไลตครับ
หิวจังง,0,หิวค่ะ
ดึงออกมาปุ๊บ ยกซดเลยเหมือนลาบเลือด555 เห็นวิธีใส่แล้วลำบากอะ ขนาดผ้าอนามัยแบบสอดยังรำคานอันนี้น่าจะหนักว่า เหมือนอะไรคาหอย😂,0,ดึงออกมาเเล้ว เหมือนจะดื่มได้เลย เห็นวิธีใส่แล้วรู้สึกลำบาก ขนาดผ้าอนามัยแบบสอดยังลำบาก อันนี้น่าจะลำบากกว่า
เคยไปลอง eyeliner ของ kat von d แล้ว ก็ไม่ได้ขนาดนั้นอ่ะ ฮื่อ แต่ eyelid เรามันมาก ละก้น้ำตาไหลบ่อย,0,เคยไปลอง eyeliner ของ kat von d แล้ว ประทับใจแค่พอประมาณ แต่ eyelid มันมาก เเละทำให้น้ำตาไหลบ่อย
เด๋วค่อยเลือกละกันน,0,ยังไม่เลือกเเล้วกัน
จะไปขายสตอวันอาทิตย์ละ,0,จะไปขายสตอวันอาทิตย์แล้ว
รีล่าชาชีสเอ็มเคคือเลี่ยนมาก กินไปครึ่งแก้วจะอ้วก,0,รีล่าชาชีสเอ็มเคเลี่ยนมากครับ กินไปครึ่งแก้วแล้วรู้สึกอยากอาเจียน
อาบน้ำก่อน รอกินบาบีก้อนกันนะ เตรียมตัวรอ,0,ผมขออาบน้ำก่อนครับ คุณเตรียมตัวรอกินบาบีก้อนกันนะครับ 
อย่าให้คลอดก่อนเด้อ55555,0,อย่าให้คลอดก่อนนะคะ
มาทานสาขาโลตัสบางปะอิน ผิดหวังกับหมี่หยกมาก เส้นเละนิ่มและไม่เกาะกันเป็นก้อน สั่งเป็ดกับหมูกรอบ แตงกวาก็วางไปเกือบครึ่งจาน จะสั่งชุดชีสซี๊ดแซ่บ พนง.บอกน้ำซุปต้มยำหมด นี่มาทานร้านก็เพิ่งเปิดไปชม.กว่าๆ น้ำซุปหมด? ผิดหวังกับสาขานี้มากๆค่ะ,0,ฉันมาทานสาขาโลตัสบางปะอิน ผิดหวังกับหมี่หยกมากค่ะ เส้นเละนิ่มและไม่เกาะกันเป็นก้อนเลยค่ะ สั่งเป็ดกับหมูกรอบ แต่ได้แตงกวาวางไปเกือบครึ่งจาน จะสั่งชุดชีสซี๊ดแซ่บ พนักงานบอกว่าน้ำซุปต้มยำหมด ฉันมาทานร้านก็เพิ่งเปิดไปชั่วโมงกว่า ๆ ทำไมน้ำซุปหมดหรอคะ ผิดหวังกับสาขานี้มาก ๆ ค่ะ
ไม่ทันแล้ว,0,คุณมาไม่ทันแล้วค่ะ
นุ่นก็เช่นกัน,0,นุ่นก็เช่นกันค่ะ
มันคือเรื่องเงินจากภาษียาสูบ ล้วนๆ ไม่มีอะไรผสมเลย,0,ทั้งหมดคือเรื่องเงินจากภาษียาสูบล้วน ๆ ครับ 
อร๊ายย !! ปิดร้านไปครึ่งนึงแล้วค่ะ 😘,0,ฉันปิดร้านไปครึ่งหนึ่งแล้วค่ะ 
ไม่ๆที่ปลอกมันอะ,0,ไม่ใช่ครับ ที่ปลอกของมันต่างหากครับ
ครีมกระจอกตามตลาดนัดไม่เคยซื้อเลยถ้าเปนพวกการ์นิเย่ลอลีอัลจอนสันพอนส์ว่าไปอย่าง,0,ฉันไม่เคยซื้อครีมที่พบได้ตามตลาดนัดเลยถ้าเป็นพวกการ์นิเย่ลอลีอัลจอนสันพอนส์ถึงจะซื้อค่ะ
Mazda 2 ดีเซล คับ,0,Mazda 2 ใช้ดีเซลครับ
ขีดสุดแห่งดีไซน์ โดดเด่นเหนือระดับ อีซูซุดีแมคซ์ บลูเพาเวอร์ 2 ประตู...ใหม่ทุกมิติความเหนือชั้นของนวัตกรรมปิกอัพ ดีไซน์ภายนอกสุดล้ำโฉบเฉี่ยวสไตล์สปอร์ต ล้ำสมัยทุกรายละเอียด 😲😎😊,0,ขีดสุดแห่งดีไซน์ โดดเด่นเหนือระดับ อีซูซุดีแมคซ์ บลูเพาเวอร์ 2 ประตู ใหม่ทุกมิติความเหนือชั้นของนวัตกรรมปิกอัพ ดีไซน์ภายนอกสุดล้ำโฉบเฉี่ยวสไตล์สปอร์ต ล้ำสมัยทุกรายละเอียด 
นึกว่ากินสิงห์,0,ผมนึกว่ากินสิงห์อยู่
รถป้ายังคัมรี่ตัวเก่าอยู่เลย😂,0,รถป้ายังเป็นคัมรี่ตัวเก่าอยู่เลยค่ะ
ป่ะ บาบีกอน บุฟเฟ่คิดถึงเซลมอล กับน้ำจิ้ม,0,เราไปทานบาบีก้อนบุฟเฟต์กันไหมครับ ผมคิดถึงบุฟเฟต์แซลม่อนและน้ำจิ้มครับ
เมื่อถามจีน่าว่าบิวตี้บุฟเฟ่มีโปรไหม??,0,เมื่อฉันถามจีน่าว่าบิวตี้บุฟเฟ่มีโปรไหมคะ
ไม่มีเฟส แท๊ก บ่ได้555,0,เพราะคุณไม่มีเฟส ผมจึงแท๊กคุณไม่ได้
ฮอนด้าเป็นยี่ห้อ ที่เหมาะที่สุดล่ะในการทำแท็กซี่เมืองไทย ทั้งราคาและการบำรุงรักษา,0,ฮอนด้าเป็นยี่ห้อ ที่เหมาะที่สุดแล้วครับในการทำแท็กซี่เมืองไทย ทั้งราคาและการบำรุงรักษา
กรรมกรซีพี-เบียร์ช้าง จะครึ่งประเทศแล้ว,0,มีคนเป็นกรรมกรซีพี-เบียร์ช้าง เกือบครึ่งประเทศแล้วครับ
ดื่มสิงห์ลังขวดแก้ว ลังละ 60-บาทมานานล่ะ ไม่มีแจกไรลูกค้าเลยค่ะ,0,ฉันดื่มสิงห์ลังขวดแก้ว ลังละ 60-บาทมานานละค่ะ ไม่มีแจกไรลูกค้าเลยค่ะ
เหนื่อยมาก ขับแต่รถจนกูจะไปเป็นแท็กซี่แล้วแม่ง,0,ผมเหนื่อยมากครับ ขับแต่รถจนผมจะไปเป็นแท็กซี่แล้วครับ
ตาแซบคัก,0,อร่อยมากครับ
MRT เปิดแอร์บ้างก็ได้นะตอนเช้าๆอะ อิคนที่ต้องยืนมุมๆก็ร้อนจะตายห่า ไม่งั้นจะเสียค่ารถวันละ 100 กว่าบาททำไม ขับรถเอาก็ได้มั้ง,0,MRT ตอนเช้าเปิดแอร์บ้างก็ได้นะคะ คนที่ต้องยืนมุมร้อนมากค่ะ ไม่งั้นจะเสียค่ารถวันละ 100 กว่าบาททำไม ขับรถเอาก็ได้ค่ะ
ช่วยเก็บผ้าเช็ดหน้า,0,ช่วยเก็บผ้าเช็ดหน้าให้ผมหน่อยครับ
พรุ่งนี้ก็ถึงเทศการณ์สงกรานต์กันแล้ว ใครเดินทางกลับบ้านโดยรถยนต์ส่วนบุคคล ควรเช็คอะไรบ้าง ก่อนเดินทาง เพื่อความปลอดภัย ไปชมกัน !!,0,พรุ่งนี้ก็ถึงเทศการณ์สงกรานต์กันแล้ว ใครเดินทางกลับบ้านโดยรถยนต์ส่วนบุคคล ควรเช็คอะไรบ้าง ก่อนเดินทาง เพื่อความปลอดภัย ไปชมกันครับ
รุ่นใหญ่จากเชฟโรเลต เชฟโรเลต คามาโร่ 🔰🔰รถสปอร์ตอเมริกันอันดับหนึ่ง🔰🔰,0,รุ่นใหญ่จากเชฟโรเลต เชฟโรเลต คามาโร่ รถสปอร์ตอเมริกันอันดับหนึ่ง
แล้วที่คุณบอกว่า ถ้ามีคนแบบนี้เยอะๆมันจะเป็นอย่างไร ยกตัวอย่าง เบียร์ช้าง เบียร์สิงห์ ทุกธุรกิจอีกมายมาย มีการบริจาค เพื่อสร้างภาพลักษณ์ ทำดีเพื่อหวังผลนั้นแหละ มีคนพวกนี้เยอะๆ มันไม่ดียังไง,0,แล้วที่คุณบอกว่า ถ้ามีคนแบบนี้เยอะๆมันจะเป็นอย่างไรครับ ยกตัวอย่าง เบียร์ช้าง เบียร์สิงห์ ทุกธุรกิจอีกมายมาย มีการบริจาค เพื่อสร้างภาพลักษณ์ ทำดีเพื่อหวังผลครับ มีคนพวกนี้เยอะๆ มันไม่ดียังไงครับ
เมื่อเราบอกนางว่า วันนี้งด บาบีก้อน5555+,0,เมื่อเราบอกเธอว่า วันนี้งดบาบีก้อนนะครับ
หอมครับตัวนี้ 7มีขาย,0,ตัวนี้หอมมากครับ ร้านเซเว่นมีขายครับ
เพิ่งกินมา แต่ไม่ลด แม่ง!,0,ผมพึ่งไปกินมาครับ แต่เขาไม่ได้ลดให้ครับ
ผ้าอนามัยสำหรับกลางคืนสมัยนี้เหมือนออกแบบมาให้กูนอนท่าหกสูง เมิงจะยาวไปไหน หรือให้กูตัดแบ่งใช้วะ,0,ผ้าอนามัยสำหรับกลางคืนสมัยนี้เหมือนออกแบบมาให้ฉันนอนท่าหกสูงเลยค่ะ ทำไมถึงได้ยาวขนาดนั้น หรือจริง ๆ แล้วให้ตัดแบ่งใช้หรอคะ
ถ้าหากสวยได้เพียงข้ามคืน อยากสวยเหมือนใหม่ ดาวิกา โฮร์เน่ เพราะนางมีความสวยที่แบบเลอค่ามงลงมากๆ เป็นความใฝ่ฝันอันสูงสุดในชีวิตเลยก็ว่าได้ ❤,0,ถ้าหากสวยได้เพียงข้ามคืน อยากสวยเหมือนใหม่ ดาวิกา โฮร์เน่ เพราะนางมีความสวยที่แบบเลอค่า เป็นความใฝ่ฝันอันสูงสุดในชีวิตเลยก็ว่าได้ค่ะ
"ข่าวไทยรัฐ : โตโยต้าลั่นกลองรบตลาด 2018 ส่งรถร้อนแรง ""ซี-เอชอาร์"" รุกเข้ม",0,"ข่าวไทยรัฐ : โตโยต้าลั่นกลองรบตลาด 2018 ส่งรถร้อนแรง ""ซี-เอชอาร์"" รุกเข้ม"
ตอนนี้ รัฐกำลัง ช่วยโรงงานยสูบ คับ เลย จับให้หันมาสูบ ยา แบบเดิม ผม ก็ไม่กล้าพกไปไหน ไกล เหมือนเค้ากำลังเข้มเลย เวลาไปเที่ยว ริมทะเล ยังใงมันก็ แพ้สูบยาไฟฟ้า มันฟินกว่า เยอะ,0,ตอนนี้ รัฐกำลัง ช่วยโรงงานยาสูบครับ เลยจับให้หันมาสูบยาแบบเดิม ผมก็ไม่กล้าพกไปไหนไกล เหมือนเขากำลังเข้มเลย เวลาไปเที่ยว ริมทะเล ยังไงก็แพ้สูบยาไฟฟ้า มันรู้สึกดีกว่าเยอะครับ
วันนี้รถเริ่มติดขึ้นมาหน่อย แต่btsโล่งม้ากกก (08:43 bts Asoke),0,วันนี้รถเริ่มติดขึ้นมาหน่อย แต่ bts โล่งมากครับ (08:43 bts Asoke)
โอเคพี่เลี้ยง😘😘😘😘😘,0,พี่เลี้ยงเองครับ
Official ปกติใช้บาบาล่าเบอ1 อมชมพู ดูสวยเนียนนนเข้าหน้ามากกกก แต่พอมาใช้เจ้านางเบอ2 คือมันเหลืองมากกกกกค่ะ,0,ปกติของแท้ใช้บาบาล่าเบอ1 อมชมพู ดูสวยเนียนนนเข้าหน้ามากแต่พอมาใช้เบอ2 สีออกเหลืองค่ะ
ไอ้แก๊กอ่ะ5555,0,แล้วแก๊กล่ะครับ
ผ้าอนามัยเอลิสที่เป็นลายริลัคคุมะคือกาวเหนียมาก ติดแน่นมาก แน่นจนกุแกะไม่ออก โว้ยยยยยยยยยยยยยยยยย,0,ผ้าอนามัยเอลิสที่เป็นลายริลัคคุมะกาวเหนียมากค่ะ ติดแน่นมากค่ะ แน่นจนฉันแกะไม่ออกค่ะ
ผ.อ คนไหนละ,0,ผ.อ. คนไหนหรอครับ
ตอนนี้เค้าฮิตอัญชันกันหรอ555,0,ตอนนี้เขาชอบอัญชันกันหรอครับ
เดือนนี้หมดกับ innisfree ไปสองพันละนะ ทำไมต้องวอแวอีก วอแวเก่งสุดกูเนี่ย,0,เดือนนี้ผมหมดกับ innisfree ไปสองพันละนะครับ ทำไมต้องมารบกวนอีกครับ รบกวนผมเก่งมากนะครับ
แทนที่จะบอกมาทีเดียวให้หมดว่ามีสาขาไหนร่วมบ้างมานั่งไล่ถามว่าที่ไหนมีๆ บอกมาหมดทีเดียวมันยากตรงไหน,0,แทนที่คุณจะบอกมาทีเดียวให้หมดว่ามีสาขาไหนร่วมรายการบ้าง กลายเป็นว่าผมต้องมานั่งถามไล่ทีละสาขา บอกมาหมดทีเดียวมันยากตรงไหนหรอครับ
ไม่ใช่เราแน่นอน เราไม่แดก 100,0,ไม่ใช่เราแน่นอน เราไม่กิน 100 ครับ
ยอมใจ พวก พี่ ๆ ๆ เลย ขอบคุณคาฟ,0,ยอมใจ พวก พี่ ๆ เลยครับ ขอบคุณครับ
อู๊ย... พี่น่าโดนเนอะ,0,พี่น่าโดนนะครับ
ชอบ toyotabuzz จัดกิจกรรมตลอด คืนกำไรให้กับลูกค้า,0,ชอบ toyotabuzz ครับ จัดกิจกรรมตลอด คืนกำไรให้กับลูกค้าครับ
นิสสัน navara PPV? เชย แก่ โบราณ,0,นิสสัน navara PPV ถือว่าโบราณไหมครับ
ลองอ่านดู เพื่อความมั่นใจ555555,0,ลองอ่านดู เพื่อความมั่นใจครับ
แล้วแต่เวลาชวน ไม่กินเอง,0,แล้วแต่เวลาที่ชวน ไม่ได้กินด้วยตัวเองครับ
เห็นน้องๆใช้แล้วผิวดีเลยให้คนไปซื้อมาลอง มีราคาย่อมเยาด้วยใช้ไป 2-3 ปี น้องที่ทำ snail white เลยมาชวนให้เป็น presenter,0,เห็นน้องๆ ใช้แล้วผิวดี เลยฝากคนไปซื้อมาลอง มีแบบราคาย่อมเยาด้วย ใช้ไป 2-3 ปี น้องที่ทำ snail white ก็ได้มาชวนให้เป็น presenter
ไปจัดทีวันเสาร์,0,ไปลองเสียหน่อย ในวันเสาร์นี้
เบียร์ยูเหมาะสำหรับคนที่ไม่ชอบรสขม รสชาติของเบียร์จะอ่อนๆนิ่มๆ โดยรวมๆก็ดื่มง่ายอ่ะค่ะ,0,เบียร์ยูเหมาะสำหรับคนที่ไม่ชอบรสขม รสชาติของเบียร์จะอ่อนและนิ่ม โดยรวมแล้ว ดื่มง่ายค่ะ
ไปมะ,0,ไปไหม
ไอ้ใครพิมพ์สมน้ำหน้าตะกี้นะ,0,ใครพิมพ์สมน้ำหน้าเมื่อครู่นะครับ
นี่ใช้โซฟีดึงทีกกน.แทบเป็นขุย ติดแน่นอะไรเบอร์นั้น 5555,0,ฉันใช้โซฟี เวลาดึงทีกางเกงในแทบเป็นขุย ทำไมถึงติดแน่นขนาดนั้น
สรุปแดกลีโอต่อปาย,0,สรุปแล้วว่า เลือกดื่มลีโอต่อไป
